|    |             r |            r* |       Mid-P r |      Mid-P r* |   $\sqrt{t_0\vert y}$ |   Effective $\sqrt{t_0\vert y}$ |
|---:|--------------:|--------------:|--------------:|--------------:|----------------------:|--------------------------------:|
|  0 | nan           | nan           | nan           | nan           |          nan          |                     -inf        |
|  1 | nan           | nan           |   0.963254    |   0.944804    |            0          |                       -1.64547  |
|  2 |   0.91007     |   0.883321    |   0.830942    |   0.79682     |            0          |                       -0.843062 |
|  3 |   0.730162    |   0.691329    |   0.616242    |   0.576068    |            0.00173263 |                       -0.192022 |
|  4 |   0.499309    |   0.46098     |   0.388609    |   0.354514    |            0.550873   |                        0.379668 |
|  5 |   0.290861    |   0.262343    |   0.209665    |   0.187088    |            1.05464    |                        0.899351 |
|  6 |   0.145795    |   0.128785    |   0.0979621   |   0.0857113   |            1.52439    |                        1.38115  |
|  7 |   0.0637054   |   0.0552404   |   0.0401585   |   0.0345289   |            1.96728    |                        1.83359  |
|  8 |   0.0245757   |   0.0209625   |   0.0146205   |   0.0123772   |            2.38815    |                        2.26229  |
|  9 |   0.00846664  |   0.00711657  |   0.00477832  |   0.00398929  |            2.79053    |                        2.67123  |
| 10 |   0.00263113  |   0.00218258  |   0.00141503  |   0.00116664  |            3.17702    |                        3.06334  |
| 11 |   0.00074398  |   0.00060982  |   0.000382758 |   0.000311996 |            3.54968    |                        3.44088  |
| 12 |   0.000192849 |   0.000156363 |   9.52313e-05 |   7.68224e-05 |            3.91012    |                        3.80561  |
| 13 |   4.61242e-05 |   3.70271e-05 |   2.19261e-05 |   1.75194e-05 |            4.25967    |                        4.15897  |
