|    |   Mid-P r* (p-value) |   Poisson p-value |   $\sqrt{t_0\vert y}$ |   Effective $\sqrt{t_0\vert y}$ |   $\sqrt{t_0^{*mp}\vert y}$ |   Effective $\sqrt{t_0^{*mp}\vert y}$ |
|---:|---------------------:|------------------:|----------------------:|--------------------------------:|----------------------------:|--------------------------------------:|
|  0 |        nan           |       1           |            nan        |                    -inf         |                    0        |                           nan         |
|  1 |          0.998465    |       0.998769    |              0        |                      -3.02799   |                    0        |                            -2.96061   |
|  2 |          0.989691    |       0.990522    |              0        |                      -2.34639   |                    0        |                            -2.31491   |
|  3 |          0.961412    |       0.962894    |              0        |                      -1.78531   |                    0        |                            -1.76731   |
|  4 |          0.899365    |       0.901192    |              0        |                      -1.28837   |                    0        |                            -1.27794   |
|  5 |          0.796292    |       0.797841    |              0        |                      -0.833934  |                    0        |                            -0.828448  |
|  6 |          0.658627    |       0.659351    |              0        |                      -0.410691  |                    0        |                            -0.408718  |
|  7 |          0.504967    |       0.504703    |              0.115051 |                      -0.0117887 |                    0.364626 |                            -0.0124497 |
|  8 |          0.357695    |       0.356683    |              0.48718  |                       0.367339  |                    0.725572 |                             0.364626  |
|  9 |          0.23405     |       0.232716    |              0.843864 |                       0.72993   |                    1.07268  |                             0.725572  |
| 10 |          0.141706    |       0.14043     |              1.18725  |                       1.07839   |                    1.40774  |                             1.07268   |
| 11 |          0.0796045   |       0.0785983   |              1.51899  |                       1.41456   |                    1.73214  |                             1.40774   |
| 12 |          0.0416244   |       0.0409371   |              1.84043  |                       1.73991   |                    2.04703  |                             1.73214   |
| 13 |          0.0203274   |       0.0199096   |              2.15265  |                       2.05562   |                    2.35337  |                             2.04703   |
| 14 |          0.00930213  |       0.00907234  |              2.45654  |                       2.36265   |                    2.65193  |                             2.35337   |
| 15 |          0.00400169  |       0.00388594  |              2.75287  |                       2.66182   |                    2.94339  |                             2.65193   |
| 16 |          0.00162321  |       0.00156935  |              3.04227  |                       2.95382   |                    3.22832  |                             2.94339   |
| 17 |          0.000622594 |       0.000599279 |              3.3253   |                       3.23922   |                    3.50723  |                             3.22832   |
| 18 |          0.000226399 |       0.000216956 |              3.60243  |                       3.51855   |                    3.78055  |                             3.50723   |
| 19 |          7.82423e-05 |       7.46473e-05 |              3.87409  |                       3.79224   |                    4.04866  |                             3.78055   |
| 20 |          2.57564e-05 |       2.44646e-05 |              4.14065  |                       4.06068   |                    4.3119   |                             4.04866   |
